order_id,customer_id,restaurant_name,cuisine_type,order_date,order_amount,discount_percent,final_amount,delivery_time_mins,order_status,payment_method,order_rating,is_reorder,promo_code_used,delivery_partner_id,city,notes
ORD000701,CUST00504,Sushi_Spot,continental,not provided,1118,28.6,2344,44,,UPI,1.5,false,N/A,,  Pune ,no Onion
ORD001370,CUST00461,Spice  Garden,Biryani,05-07-2022,850,27.8,2098,88,DELIVERED,N/A,3.0,yes,save10,,Delhi ,no Onion
ORD000975,CUST00541,Wok-Express,Italian,not provided,2420,49.6,1077,16,Cancelled,net banking,1.4,1,FLAT20 ,,Mumbai,  
ORD001306,CUST00203,Spice  Garden,Itlaian,24/07/2023,881,24.0,1457,47,Cncld,Wallet,3.2,FALSE,save10,N/A,Kolkata,
ORD000869,CUST00135,the biryani house,Burger,not provided,2088,31.5,N/A,69,Pending,wallet,,1,FLAT20 ,N/A,Hyderabad,Extra spicy
ORD000108,CUST00223,The Biryani House,burger,,1652,N/A,911,39,delivered,Card,,true,SAVE10,,  Pune ,
ORD000513,CUST00506,Burger Barn!!,Sushi,,1349,42.9,550,89,,COD,,1,N/A,,bangalore,
ORD000788,CUST00328,Sushi_Spot,biryani,09-28-2023,961,5.8,1856,58,Delivered,COD,3.4,True,,,kolkata ,extra SPICY
ORD000645,CUST00049,Pizza Palace,Pizza,02-22-2022,2212,-19.480885679045464,1195,45,delivered,Card,1.2,Yes,,,Mumbai,Extra spicy
ORD000510,CUST00587,Spice  Garden,Italian,06 Sep 2023,₹878,22.2,1801,42,cancelled,card,2.8,no,SAVE10,DP5182,chenai,extra SPICY
ORD000561,CUST00130,PIZZA PALACE,PIZZA,15 Mar 2022,978,11.6,402,84,,card,,Y,SAVE 10,,Ahmedabad,N/A
ORD000078,CUST00564,Noodle Nook,CHINESE,1665014400,472,28.4,1654,65,Cncld,Net Banking,2.1,0,SAVE10,,Chennai,
ORD001086,CUST00388,the biryani house,biryani,1652572800,₹879,6.1,2113,67,delivered,COD,2.6,1,FIRST50,,Hydrabad,No onion
ORD000040,CUST00118,Dosa Delight,Biryani,1674604800,2319,14.4,1040,54,cancelled,upi,4.6,Yes,FLAT20,DP7473,Chennai,Extra spicy
ORD001018,CUST00455,Curry Corner,Chinese,1657411200,2867,24.7,921,55,Pending,net banking,,Y,N/A,,  Pune ,
ORD000732,CUST00173,Dosa Delight.,Indian,21 Jul 2022,2796,10.4,1645,64,Pending,UPI,,False,N/A,DP9941,Delhi ,N/A
ORD000310,CUST00177,Noodle  Nook,Indian,28/03/2022,2062,-3.809027772884857,339,,Cncld,wallet,,False,FLAT20,DP2705,MUMBAI,  
ORD001144,CUST00082,PIZZA PALACE,Thai,12-22-2023,1110,0.4,117,29,,Cash,,yes,N/A,N/A,MUMBAI,  
ORD001243,CUST00164,Tandoor Tales,mexcian,27 Sep 2022,684,4.5,₹269,78,cancelled,Cash,4.0,no,SAVE10,,chenai,no Onion
ORD001366,CUST00272,Burger Barn!!,Biryani,19 Sep 2023,1230,49.5,1984,82,CANCELLED,UPI ,1.1,1,FLAT20 ,N/A,Hydrabad,Extra spicy
ORD000769,CUST00128,Dosa Delight.,burger,16/08/2023,2272,26.3,1608,-9,Delivered,Card,1.7,TRUE,save10,N/A,Mumbai,
ORD001231,CUST00335,Curry Corner@,mexcian,2023/02/05,2276,9.6,2437,16,Cancelled,card,4.4,true,FLAT20 ,DP4453,Ahmedabad,Less oil
ORD000688,CUST00341,Dosa Delight.,Pizza,"January 24, 2023",2553,113.11863556995898,2744,20,N/A,Card,-0.12485296903400722,0,N/A,DP9285,Bangalore,extra SPICY
ORD001080,CUST00489,Dosa Delight,Italian,2023/10/30,1197,42.3,1537,25,,Card,,N,,,mumbai,no Onion
ORD001346,CUST00108,Sushi Spot,Continental,2022/07/13,223,1.6,2617,46,Cancelled,card,2.8,FALSE,FLAT20,DP7501,mumbai,Extra spicy
ORD001411,CUST00232,Pizza Palace,Itlaian,2023-01-18,2881,25.3,516,18,DELIVERED,upi,5.0,True,save10,N/A,DELHI,no Onion
ORD000698,CUST00319,The Biryani House,Indian,2022/01/31,₹773,7.7,489,55,Pending,Card,2.8,yes,FIRST50,DP4671,Bangalore,Less oil
ORD001128,CUST00139,PIZZA PALACE,Pizza,16/07/2023,2159,49.5,2648,64,Cncld,upi,3.8,Y,,N/A,Kolkata,N/A
ORD000003,CUST00051,Dosa Delight.,Pizza,1684713600,623,20.1,₹1214,89,delivered,COD,1.3,FALSE,N/A,N/A,Kolkata,no Onion
ORD000668,CUST00426,Sushi_Spot,Itlaian,2023-10-25,1209,-8.614978679059373,₹1302,72,CANCELLED,upi,2.1,N,N/A,DP6401,Bangalore,Extra spicy
ORD000161,CUST00329,Burger Barn,continental,N/A,2288,47.7,1538,47,pending,card,1.1,Y,,DP9082,Bangalroe,Extra spicy
ORD000664,CUST00363,Noodle  Nook,Indian,2022-09-17,2953,41.2,2006,82,pending,card,,no,N/A,N/A,Bangalroe,  
ORD000432,CUST00419,Noodle  Nook,Italian,2022-08-14,2255,43.1,1893,20,Cancelled,Net Banking,2.7,Yes,FLAT20 ,,MUMBAI,no Onion
ORD001423,CUST00476,Tandoor Tales,Mexican,14/12/2023,2146,30.0,1177,53,DELIVERED,UPI,3.5,no,FIRST50,N/A,Delhi,N/A
ORD000618,CUST00445,Spice  Garden,Pizza,2022/04/17,702,9.8,2126,18,Cncld,net banking,9.991168769609484,TRUE,FLAT20 ,,Ahmedabad,no Onion
ORD000846,CUST00092,Wok-Express,Sushi ,2022/02/27,1461,162.59956903210343,426,54,CANCELLED,CARD,4.3,yes,,,Hyderabad,N/A
ORD001452,CUST00203,Sushi_Spot,biryani,2022/07/17,191,38.0,1695,29,Cancelled,N/A,2.3,true,SAVE10,DP6940,MUMBAI,
ORD001245,CUST00569,Noodle  Nook,Itlaian,02-03-2022,2512,9.0,1204,88,delivered,cash,3.2,true,save10,,Mumbai,Less oil
ORD001335,CUST00396,the biryani house,PIZZA,15 Feb 2023,₹163,12.7,2780,42,Cncld,Net Banking,3.0,N,N/A,N/A,Ahmedabad,
ORD000487,CUST00328,Spice Garden,continental,1660262400,1320,9.6,1085,85,Dlvrd,N/A,,True,,,MUMBAI,  
ORD000924,CUST00158,Spice  Garden,Biryani,03-13-2023,N/A,49.8,2828,65,Cancelled,upi,3.8,1,N/A,DP5243,mumbai,
ORD000272,CUST00418,Spice  Garden,Italain,2023-05-29,537,24.1,1016,335,DELIVERED,N/A,4.6,false,FIRST50,,bangalore,no Onion
ORD000327,CUST00259,the biryani house,biryani,05-25-2023,309,47.1,491,67,Dlvrd,Wallet,4.9,1,,,  Pune ,  
ORD000819,CUST00157,Spice Garden,Mexican,20 Jul 2022,465,49.7,148,82,delivered,,1.4,N,SAVE 10,N/A,kolkata ,extra SPICY
ORD001285,CUST00128,The Biryani House,Thai ,2023/01/27,1032,24.7,2036,64,,wallet,6.1752069470991255,1,,,Kolkata,Extra spicy
ORD001035,CUST00270,Tandoor Tales,Italian,"June 22, 2022",1339,9.3,2189,21,DELIVERED,cash,-0.0016801765418003045,True,N/A,,Chennai,
ORD000260,CUST00594,Burger Barn!!,Pizza,20/12/2023,2280,47.0,2099,32,delivered,CARD,1.3,no,,,Pune,  
ORD000778,CUST00585,Wok-Express,Pizza,not provided,781,16.8,263,75,Pending,Cash,4.1,True,FLAT20 ,,Ahemadabad,Less oil
ORD000515,CUST00244,Wok Express,Burger,2022-06-20,2750,21.9,400,50,pending,,3.0,FALSE,SAVE 10,,Kolkata,extra SPICY
ORD000630,CUST00532,Sushi Spot,Italian,1692835200,N/A,27.2,₹1511,49,delivered,N/A,3.2,N,FLAT20,N/A,Hydrabad,  
ORD000890,CUST00510,Tandoor Tales,Italian,12 Feb 2022,1952,30.6,2137,86,Delivered,wallet,4.4,false,SAVE10,,Bangalore,Less oil
ORD000956,CUST00571,Curry Corner,burger,2022/07/28,₹1002,41.3,2539,77,DELIVERED,card,4.5,TRUE,N/A,N/A,MUMBAI,No onion
ORD001261,CUST00232,Noodle  Nook,CHINESE,,1407,16.9,1730,16,N/A,Cash,1.3,0,N/A,DP9127,Ahmedabad,Extra spicy
ORD000917,CUST00001,Curry Corner@,burger,"December 29, 2023",1699,9.9,1446,18,pending,net banking,3.2,true,SAVE 10,,  Pune ,extra SPICY
